OTU_total	Phylum	Class	Order	Family	Genus	OTU	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T7_1	T7_2	T7_3	T7_4	T7_5	T7_6	DF_1	DF_2	DF_3	DF_4	DF_5	CF_1	CF_2	CF_3	CF_4	CF_5	CF_6
Otu1970	unclassified	unclassified	unclassified	unclassified	unclassified	Otu1982	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu1971	unclassified	unclassified	unclassified	unclassified	unclassified	Otu1983	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1972	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified	unclassified	Otu1984	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1973	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu1985	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
Otu1974	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Otu1986	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu1975	unclassified	unclassified	unclassified	unclassified	unclassified	Otu1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Otu1976	unclassified	unclassified	unclassified	unclassified	unclassified	Otu1988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Otu1977	unclassified	unclassified	unclassified	unclassified	unclassified	Otu1989	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1978	unclassified	unclassified	unclassified	unclassified	unclassified	Otu1990	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Otu1979	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	Otu1991	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1980	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu1992	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1981	unclassified	unclassified	unclassified	unclassified	unclassified	Otu1993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu1982	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu1995	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1983	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu1996	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1984	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Otu1997	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Otu1985	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu1998	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1986	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micromonosporineae	Otu1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu1987	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu2000	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu1988	Candidate_division_TM7	unclassified	unclassified	unclassified	unclassified	Otu2001	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu1989	Chloroflexi	Thermomicrobia	JG30-KF-CM45	unclassified	unclassified	Otu2002	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu1990	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu2003	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu1991	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	Otu2004	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1992	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2005	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1993	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu2006	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu1994	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu2007	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1995	Actinobacteria	Actinobacteria	Acidimicrobidae	Acidimicrobiales	Acidimicrobineae	Otu2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu1996	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2009	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1997	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu2010	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1998	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Otu1999	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu2012	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu2000	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micromonosporineae	Otu2013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu2001	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	Otu2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Otu2002	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	Otu2015	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2003	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	uncultured	Otu2016	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2004	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu2017	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu2005	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micromonosporineae	Otu2018	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2006	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu2019	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2007	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Otu2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Otu2008	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	Otu2021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu2009	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	Otu2023	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu2010	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2024	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2011	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	uncultured	Otu2025	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2012	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	uncultured	Otu2026	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2013	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu2014	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	Otu2028	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2015	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Otu2029	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2016	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu2030	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu2017	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu2031	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2018	Planctomycetes	unclassified	unclassified	unclassified	unclassified	Otu2032	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2019	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micromonosporineae	Otu2033	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu2020	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Otu2034	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Otu2021	Actinobacteria	Actinobacteria	Rubrobacteridae	AKIW543	unclassified	Otu2035	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Otu2022	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu2036	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu2023	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu2024	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Otu2038	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2025	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystineae	Haliangiaceae	Otu2039	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu2026	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu2040	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu2027	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2041	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2028	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Otu2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu2029	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu2043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu2030	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2044	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu2031	Candidate_division_TM7	unclassified	unclassified	unclassified	unclassified	Otu2045	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2032	Bacteroidetes	Flavobacteria	Flavobacteriales	unclassified	unclassified	Otu2046	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu2033	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu2047	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu2034	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Otu2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu2035	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2049	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2036	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Otu2050	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2037	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2051	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu2038	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	Otu2052	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2039	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu2054	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu2040	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Otu2055	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2041	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacteriaceae	Otu2056	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Otu2042	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu2057	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2043	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Otu2058	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu2044	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2059	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2045	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	unclassified	Otu2060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu2046	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Otu2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu2047	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	uncultured	Otu2062	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2048	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	Otu2063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Otu2049	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	unclassified	Otu2064	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2050	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	unclassified	Otu2065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Otu2051	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu2066	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Otu2052	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2067	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu2053	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Otu2068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu2054	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	Otu2069	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Otu2055	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Otu2070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
Otu2056	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu2071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu2057	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu2072	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu2058	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2073	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
Otu2059	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	Otu2074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu2060	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
Otu2061	Bacteroidetes	Sphingobacteria	Sphingobacteriales	env.OPS_17	unclassified	Otu2076	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
Otu2062	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2077	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2063	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Otu2064	Firmicutes	Bacilli	Bacillales	Bacillaceae	unclassified	Otu2079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu2065	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2080	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Otu2066	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	unclassified	Otu2081	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu2067	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Otu2082	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2068	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Otu2069	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Streptomycineae	Otu2084	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2070	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu2085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu2071	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Otu2072	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu2073	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2088	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2074	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu2089	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2075	Cyanobacteria	WD272	unclassified	unclassified	unclassified	Otu2090	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2076	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	Otu2091	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu2077	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu2092	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu2078	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu2093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Otu2079	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2095	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Otu2080	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacteriaceae	Otu2096	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu2081	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2097	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2082	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2098	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
Otu2083	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2099	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Otu2084	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu2100	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2085	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	Otu2101	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2086	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Otu2102	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2087	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu2103	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Otu2088	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Niastella	Otu2104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Otu2089	Proteobacteria	Alphaproteobacteria	Sphingomonadales	unclassified	unclassified	Otu2105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Otu2090	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2106	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2091	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Otu2107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Otu2092	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Otu2108	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu2093	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu2109	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2094	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2110	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2095	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
Otu2096	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Otu2112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2097	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu2113	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2098	WCHB1-60	unclassified	unclassified	unclassified	unclassified	Otu2114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
Otu2099	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	uncultured	Otu2115	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2100	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu2101	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2117	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu2102	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Streptomycineae	Otu2118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu2103	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Otu2104	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	unclassified	Otu2120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu2105	Proteobacteria	Alphaproteobacteria	Rhodospirillales	DA111	unclassified	Otu2121	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2106	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2122	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Otu2107	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified	Otu2123	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Otu2108	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu2124	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2109	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu2125	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2110	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu2126	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu2111	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2127	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2112	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu2128	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2113	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Otu2129	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2114	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu2130	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu2115	unclassified	unclassified	unclassified	unclassified	unclassified	Otu2131	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
